rank,ticker,name,market_cap_억
216,220100,퓨쳐켐,5237
217,484590,삼양컴텍,5217
218,045100,한양이엔지,5202
219,215600,신라젠,5201
220,114810,한솔아이원스,5195
221,025900,동화기업,5127
222,077360,덕산하이메탈,5107
223,034950,한국기업평가,5085
224,206650,유바이오로직스,5028
225,180400,DXVX,4971
226,067630,HLB생명과학,4950
227,215200,메가스터디교육,4934
228,230360,에코마케팅,4932
229,053030,바이넥스,4916
230,368770,파이버프로,4889
231,049630,재영솔루텍,4875
232,058970,엠로,4864
233,199800,툴젠,4819
234,122640,예스티,4793
235,352480,씨앤씨인터내셔널,4777
236,031330,에스에이엠티,4750
237,194480,데브시스터즈,4749
238,441270,파인엠텍,4739
239,394280,오픈엣지테크놀로지,4717
240,041830,인바디,4691
241,107640,한중엔시에스,4687
242,200670,휴메딕스,4677
243,0015G0,그린광학,4628
244,006910,보성파워텍,4618
245,394800,쓰리빌리언,4605
246,099440,스맥,4586
247,448900,한국피아이엠,4563
248,354320,알멕,4544
249,079940,가비아,4523
250,340570,티앤엘,4519
251,024850,HLB이노베이션,4501
252,078340,컴투스,4486
253,304360,에스바이오메딕스,4459
254,041920,메디아나,4454
255,298830,슈어소프트테크,4442
256,475400,씨메스,4417
257,010170,대한광통신,4389
258,046890,서울반도체,4379
259,482630,삼양엔씨켐,4356
260,179900,유티아이,4334
261,101160,월덱스,4326
262,003800,에이스침대,4286
263,094480,갤럭시아머니트리,4272
264,309710,아이티켐,4257
265,086390,유니테스트,4248
266,168360,펨트론,4245
267,314930,바이오다인,4241
268,091700,파트론,4196
269,094360,칩스앤미디어,4160
270,200130,콜마비앤에이치,4156
271,0007C0,아크릴,4152
272,462350,이노스페이스,4151
273,033640,네패스,4135
274,472850,폰드그룹,4134
275,308430,셀비온,4119
276,114190,강원에너지,4073
277,098070,한텍,4037
278,110990,디아이티,4035
279,144510,지씨셀,3997
280,419530,SAMG엔터,3989
281,078350,한양디지텍,3986
282,013030,하이록코리아,3978
283,317330,덕산테코피아,3977
284,060720,KH바텍,3968
285,051500,CJ프레시웨이,3965
286,078130,국일제지,3957
287,065660,안트로젠,3892
288,204620,글로벌텍스프리,3866
289,474650,링크솔루션,3852
290,459510,나우로보틱스,3848
291,101930,인화정공,3845
292,033790,피노,3796
293,101360,에코앤드림,3780
294,089890,코세스,3732
295,234340,헥토파이낸셜,3730
296,035890,서희건설,3730
297,215000,골프존,3728
298,389500,에스비비테크,3705
299,338840,와이바이오로직스,3703
300,036890,진성티이씨,3682
301,138610,나이벡,3671
302,481070,에이유브랜즈,3667
303,092870,엑시콘,3661
304,037460,삼지전자,3639
305,327260,RF머트리얼즈,3638
306,416180,신성에스티,3629
307,014940,오리엔탈정공,3619
308,216080,제테마,3601
309,095500,미래나노텍,3600
310,049070,인탑스,3552
311,012210,삼미금속,3549
312,035810,이지홀딩스,3548
313,389260,대명에너지,3524
314,274090,켄코아에어로스페이스,3519
315,078020,LS증권,3484
316,304100,솔트룩스,3482
317,023410,유진기업,3475
318,064820,케이프,3439
319,474170,루미르,3419
320,136480,하림,3415
321,451760,컨텍,3411
322,464080,에스오에스랩,3410
323,236200,슈프리마,3407
324,378340,필에너지,3400
325,255220,SG,3399
326,445090,에이직랜드,3392
327,380550,뉴로핏,3382
328,064550,바이오니아,3376
329,243070,휴온스,3372
330,190510,나무가,3371
331,393890,더블유씨피,3367
332,199430,케이엔알시스템,3354
333,099430,바이오플러스,3353
334,294570,쿠콘,3350
335,019210,와이지-원,3337
336,265520,AP시스템,3319
337,256840,한국비엔씨,3310
338,403850,더핑크퐁컴퍼니,3294
339,108860,셀바스AI,3278
340,203400,에이비온,3275
341,093520,매커스,3250
342,036200,유니셈,3238
343,092730,네오팜,3238
344,084990,헬릭스미스,3231
345,045390,대아티아이,3224
346,900290,GRT,3214
347,151860,KG에코솔루션,3208
348,054950,제이브이엠,3198
349,140670,알에스오토메이션,3191
350,950250,테라뷰,3165
351,035600,KG이니시스,3155
352,241520,DSC인베스트먼트,3154
353,357550,석경에이티,3153
354,200470,에이팩트,3152
355,187660,현대ADM,3150
356,371950,풍원정밀,3150
357,214180,헥토이노베이션,3131
358,156100,엘앤케이바이오,3129
359,462860,더즌,3118
360,043150,바텍,3090
361,267980,매일유업,3077
362,206640,바디텍메드,3074
363,080580,오킨스전자,3069
364,025770,한국정보통신,3040
365,270660,에브리봇,3039
366,448280,에코아이,3037
367,065680,우주일렉트로,3031
368,058820,CMG제약,3031
369,0008Z0,에스엔시스,3024
370,018310,삼목에스폼,3021
371,051370,인터플렉스,3009
372,290740,액트로,2989
373,023760,한국캐피탈,2973
374,484810,티엑스알로보틱스,2959
375,108380,대양전기공업,2947
376,211270,AP위성,2938
377,418550,제이오,2936
378,170920,엘티씨,2910
379,126700,하이비젼시스템,2902
380,489500,엘케이켐,2888
381,452430,사피엔반도체,2880
382,314130,지놈앤컴퍼니,2879
383,053300,한국정보인증,2878
384,285490,노바텍,2877
385,402030,코난테크놀로지,2873
386,067390,아스트,2870
387,042370,비츠로테크,2866
388,194700,노바렉스,2862
389,061970,LB세미콘,2846
390,176750,듀켐바이오,2846
391,067080,대화제약,2843
392,012860,모베이스전자,2841
393,005710,대원산업,2813
394,372170,윤성에프앤씨,2793
395,361390,제노코,2784
396,034810,해성산업,2780
397,089980,상아프론테크,2765
398,382900,범한퓨얼셀,2760
399,054210,이랜텍,2752
400,013120,동원개발,2751
401,115310,인포바인,2746
402,338220,뷰노,2737
403,080160,모두투어,2725
404,065710,서호전기,2714
405,389020,자람테크놀로지,2708
406,061090,세나테크놀로지,2701
407,144960,뉴파워프라즈마,2700
408,365270,큐라클,2685
409,272110,케이엔제이,2676
410,018000,유니슨,2672
411,039840,디오,2659
412,332570,PS일렉트로닉스,2658
413,079960,동양이엔피,2657
414,182400,엔케이맥스,2630
415,073490,이노와이어리스,2623
416,043370,피에이치에이,2623
417,950170,JTC,2618
418,484120,도우인시스,2608
419,330860,네패스아크,2607
420,473980,노머스,2598
421,017890,한국알콜,2595
422,417010,나노팀,2586
423,092460,한라IMS,2585
424,114840,아이패밀리에스씨,2575
425,094820,일진파워,2566
426,254490,미래반도체,2566
427,121800,비덴트,2563
