rank,ticker,name,market_cap_억
217,000815,삼성화재우,13297
218,181710,NHN,13101
219,185750,종근당,13057
220,003240,태광산업,12938
221,004000,롯데정밀화학,12926
222,000080,하이트진로,12729
223,280360,롯데웰푸드,12617
224,082640,동양생명,12554
225,089860,롯데렌탈,12400
226,051915,LG화학우,12379
227,415640,KB발해인프라,12340
228,001740,SK네트웍스,12192
229,192080,더블유게임즈,12111
230,249420,일동제약,12054
231,499790,GS피앤엘,11938
232,100090,SK오션플랜트,11727
233,009240,한샘,11567
234,006120,SK디스커버리,11559
235,006650,대한유화,11479
236,298050,HS효성첨단소재,11357
237,005690,파미셀,11313
238,137310,에스디바이오센서,11298
239,075580,세진중공업,11211
240,285130,SK케미칼,11089
241,036530,SNT홀딩스,11038
242,000670,영풍,10991
243,365550,ESR켄달스퀘어리츠,10976
244,066575,LG전자우,10776
245,071320,지역난방공사,10757
246,001270,부국증권,10712
247,003470,유안타증권,10678
248,071055,한국금융지주우,10603
249,000210,DL,10520
250,192400,쿠쿠홀딩스,10455
251,030190,NICE평가정보,10239
252,057050,현대홈쇼핑,10080
253,009450,경동나비엔,10009
254,475150,SK이터닉스,9991
255,003160,디아이,9947
256,000370,한화손해보험,9946
257,281820,케이씨텍,9931
258,195870,해성디에스,9928
259,004490,세방전지,9924
260,079160,CJ CGV,9902
261,100840,SNT에너지,9875
262,064960,SNT모티브,9740
263,00088K,한화3우B,9615
264,010780,아이에스동서,9418
265,108320,LX세미콘,9108
266,322000,HD현대에너지솔루션,9094
267,317450,명인제약,9067
268,002350,넥센타이어,9044
269,451800,한화리츠,8953
270,001060,JW중외제약,8849
271,007700,F&F홀딩스,8820
272,033240,자화전자,8779
273,093370,후성,8763
274,003850,보령,8750
275,248070,솔루엠,8726
276,079900,전진건설로봇,8478
277,000400,롯데손해보험,8457
278,002020,코오롱,8416
279,130660,한전산업,8362
280,003620,KG모빌리티,8328
281,001680,대상,8316
282,005180,빙그레,8304
283,069260,TKG휴켐스,8298
284,114090,GKL,8289
285,214320,이노션,8240
286,014820,동원시스템즈,8234
287,025540,한국단자,7961
288,001500,현대차증권,7946
289,000640,동아쏘시오홀딩스,7876
290,005250,녹십자홀딩스,7863
291,001510,SK증권,7831
292,039130,하나투어,7760
293,00104K,CJ4우(전환),7692
294,0120G0,삼양바이오팜,7674
295,456040,OCI,7610
296,003545,대신증권우,7436
297,381970,케이카,7431
298,017940,E1,7306
299,005880,대한해운,7294
300,383800,LX홀딩스,7277
301,002840,미원상사,7277
302,293940,신한알파리츠,7196
303,268280,미원에스씨,7175
304,058650,세아홀딩스,7031
305,950210,프레스티지바이오파마,6941
306,093050,LF,6930
307,016610,DB증권,6898
308,008730,율촌화학,6882
309,090460,비에이치,6776
310,019170,신풍제약,6676
311,005420,코스모화학,6645
312,006220,제주은행,6498
313,002240,고려제강,6453
314,004690,삼천리,6374
315,005090,SGC에너지,6347
316,001570,금양,6333
317,005389,현대차3우B,6331
318,016590,신대양제지,6282
319,336370,솔루스첨단소재,6235
320,006380,카프로,6185
321,377740,바이오노트,6174
322,016380,KG스틸,6121
323,002960,한국쉘석유,6116
324,002030,아세아,6083
325,094800,맵스리얼티,6081
326,003030,세아제강지주,6055
327,029530,신도리코,5967
328,005810,풍산홀딩스,5954
329,001820,삼화콘덴서,5925
330,284740,쿠쿠홈시스,5867
331,178920,PI첨단소재,5812
332,145720,덴티움,5811
333,090435,아모레퍼시픽우,5691
334,034310,NICE,5672
335,000070,삼양홀딩스,5667
336,105630,한세실업,5616
337,105840,우진,5585
338,192650,드림텍,5578
339,014830,유니드,5522
340,009290,광동제약,5518
341,145990,삼양사,5518
342,452260,한화갤러리아,5496
343,009410,태영건설,5467
344,453340,현대그린푸드,5428
345,026890,스틱인베스트먼트,5422
346,003300,한일홀딩스,5331
347,004700,조광피혁,5326
348,089590,제주항공,5306
349,003000,부광약품,5298
350,271940,일진하이솔루스,5287
351,001200,유진투자증권,5250
352,005945,NH투자증권우,5208
353,017810,풀무원,5192
354,161000,애경케미칼,5186
355,009155,삼성전기우,5102
356,183190,아세아시멘트,4978
357,170900,동아에스티,4976
358,009900,명신산업,4937
359,097520,엠씨넥스,4907
360,344820,KCC글라스,4879
361,016800,퍼시스,4870
362,015360,INVENI,4868
363,006110,삼아알미늄,4824
364,448730,삼성FN리츠,4817
365,020000,한섬,4790
366,001530,DI동일,4765
367,037270,YG PLUS,4749
368,003280,흥아해운,4722
369,091810,티웨이항공,4714
370,072710,농심홀딩스,4707
371,015860,일진홀딩스,4609
372,010690,화신,4578
373,084010,대한제강,4547
374,031430,신세계인터내셔날,4524
375,357120,코람코라이프인프라리츠,4507
376,005610,SPC삼립,4496
377,060980,HL홀딩스,4482
378,000157,두산2우B,4474
379,200880,서연이화,4435
380,012030,DB,4426
381,460860,동국제강,4415
382,002310,아세아제지,4368
383,138490,코오롱ENP,4362
384,002810,삼영무역,4358
385,128820,대성산업,4311
386,005720,넥센,4310
387,011930,신성이엔지,4302
388,029460,케이씨,4300
389,194370,제이에스코퍼레이션,4265
390,004310,현대약품,4262
391,000540,흥국화재,4234
392,018250,애경산업,4220
393,006340,대원전선,4193
394,126720,수산인더스트리,4150
395,027410,BGF,4140
396,002710,TCC스틸,4081
397,008060,대덕,4080
398,092200,디아이씨,4048
399,348950,제이알글로벌리츠,4036
400,000650,천일고속,4016
401,084690,대상홀딩스,3994
402,001390,KG케미칼,3933
403,217590,티엠씨,3918
404,126560,현대퓨처넷,3874
405,306200,세아제강,3866
406,272450,진에어,3863
407,403550,쏘카,3859
408,000320,노루홀딩스,3801
409,025860,남해화학,3795
410,003520,영진약품,3795
411,003120,일성아이에스,3764
412,011760,현대코퍼레이션,3737
413,034830,한국토지신탁,3709
414,092230,KPX홀딩스,3684
415,011500,한농화성,3683
416,007690,국도화학,3681
417,286940,롯데이노베이트,3654
418,417310,코람코더원리츠,3636
419,001940,KISCO홀딩스,3629
420,123890,한국자산신탁,3610
421,024720,콜마홀딩스,3601
422,003960,사조대림,3579
423,475560,더본코리아,3559
424,104700,한국철강,3547
425,010820,퍼스텍,3546
426,001460,BYC,3529
427,241590,화승엔터프라이즈,3514
428,001750,한양증권,3494
429,002320,한진,3489
430,017390,서울가스,3475
431,034120,SBS,3462
432,033270,유나이티드제약,3438
433,009160,SIMPAC,3425
434,006805,미래에셋증권우,3420
435,009470,삼화전기,3360
436,006405,삼성SDI우,3325
437,003200,일신방직,3306
438,096760,JW홀딩스,3304
439,017860,DS단석,3292
440,004560,현대비앤지스틸,3287
441,000490,대동,3283
442,007160,사조산업,3250
443,037710,광주신세계,3227
444,002900,TYM,3225
